,Station,lat,lon,Elevation
561,WA008756290,-21.48,18.35,1592.0
562,WA008760370,-21.12,18.53,1445.0
563,WA008763260,-21.43,18.68,1535.0
564,WA008765760,-21.1,18.83,1425.0
565,WA009151670,-20.78,15.6,1220.0
566,WA009154460,-20.93,15.75,1325.0
567,WA009156230,-20.88,15.85,1355.0
568,WA009157810,-20.52,15.95,1203.0
569,WA009158370,-20.95,15.97,1450.0
570,WA009163230,-20.88,16.18,1512.0
571,WA009166980,-20.63,16.4,1425.0
572,WA009174330,-20.72,16.75,1580.0
573,WA009174420,-20.87,16.75,1516.0
574,WA009181280,-20.63,17.08,1485.0
575,WA009195050,-20.92,17.78,1338.0
576,WA009585120,-20.03,14.8,1002.0
577,WA009588330,-20.38,14.97,945.0
578,WA009601210,-20.02,15.58,1338.0
579,WA009612470,-20.12,16.15,1260.0
580,WA009637850,-20.08,17.45,1448.0
581,WA009647830,-20.05,17.95,1310.0
582,WA010026470,-19.78,14.37,1500.0
583,WA010035580,-19.8,14.82,1200.0
584,WA010036080,-19.63,14.85,1200.0
585,WA010040140,-19.73,15.02,1100.0
586,WA010041550,-19.58,15.1,1300.0
587,WA010043170,-19.78,15.18,1198.0
588,WA010050800,-19.83,15.55,1200.0
589,WA010063530,-19.88,16.2,1300.0
590,WA010066250,-19.92,16.35,1200.0
591,WA010066890,-19.98,16.38,1200.0
592,WA010082900,-19.83,17.17,1450.0
593,WA010085780,-19.63,17.33,1420.0
594,WA010086600,-20.0,17.37,1450.0
595,WA010094670,-19.78,17.77,1500.0
596,WA010095930,-19.88,17.83,1400.0
597,WA010096390,-19.65,17.87,1550.0
598,WA010098500,-19.67,17.98,1480.0
599,WA010098520,-19.7,17.98,1475.0
600,WA010101180,-19.97,18.07,1300.0
601,WA010101860,-19.6,18.117,1400.0
602,WA010107010,-19.68,18.4,1250.0
603,WA010111300,-19.67,18.58,1215.0
604,WA010117880,-19.63,18.95,1100.0
605,WA010150350,-19.58,20.53,1000.0
606,WA010472480,-19.13,13.65,577.0
607,WA010517310,-19.15,15.912,1100.0
608,WA010518000,-19.33,15.95,1050.0
609,WA010526410,-19.18,16.37,1050.0
610,WA010542310,-19.35,17.13,1200.0
611,WA010543290,-19.48,17.18,1300.0
612,WA010543500,-19.33,17.2,1250.0
613,WA010553740,-19.23,17.72,1311.0
614,WA010554470,-19.45,17.75,1400.0
615,WA010558090,-19.48,17.95,1450.0
616,WA010574650,-19.25,18.77,1200.0
617,WA010576160,-19.27,18.85,1200.0
618,WA010577230,-19.05,18.92,1000.0
619,WA011018280,-18.8,16.97,1100.0
620,WA011021610,-18.68,17.1,1100.0
621,WA011037970,-18.78,17.95,1100.0
622,WA011042020,-18.87,18.12,1450.0
623,WA011045350,-18.92,18.3,900.0
624,WA011592110,-18.02,20.63,1075.0
625,WA011986750,-17.75,14.88,1000.0
626,WA011990010,-17.52,15.02,1000.0
627,WA011991430,-17.88,15.08,1030.0
628,WA011998200,-17.67,15.47,1050.0
629,WA012003750,-17.75,15.72,1050.0
630,WA012011470,-17.95,16.08,1100.0
631,WA012064960,-17.77,18.78,1100.0
632,WA012084750,-17.917,19.767,1100.0
633,WA012505070,-17.45,14.78,1105.0
634,WAM00068006,-17.933,15.983,1100.0
635,WAM00068098,-22.983,14.65,88.0
636,NG000001024,16.98,7.98,520.0
637,NG000001036,14.22,1.45,209.0
638,NG000001043,14.9,5.25,384.0
639,NG000001049,14.25,13.12,289.0
640,NG000001052,13.5,2.13,216.0
641,NG000001075,13.8,5.25,272.0
642,NG000001080,13.47,7.08,388.0
643,NG000001090,13.8,9.0,489.0
644,NG000001096,13.23,11.98,357.0
645,NG000061017,18.683,12.917,357.0
646,NG000061024,16.967,7.967,505.0
647,NG000061043,14.9,5.25,391.0
