station,latitude,longitude,elevation,Temp_mean_min,Temp_mean_max,Temp_mean_avg,Temp_mean_range
GBM00064551,-0.704,10.246,25.0,22.95818206707727,29.049733059548245,26.003957563312856,6.091550992470898
GBM00064560,-0.833,12.717,485.0,21.47272416153319,28.87941136208069,25.176067761807015,7.406687200547593
GBM00064570,-1.667,13.4,321.0,20.91621765913761,28.3188186173854,24.617518138261524,7.402600958247776
GAM00061701,13.338,-16.652,29.0,23.084427104722746,28.365107460643493,25.724767282683125,5.280680355920603
GHM00065401,10.9,-1.1,203.0,21.80173169062286,34.355013004791175,28.078372347707127,12.55328131416836
GHM00065404,10.083,-2.508,323.1,21.570870636550374,33.9572498288843,27.764060232717345,12.38637919233398
GHM00065416,9.033,-2.483,301.0,21.91730869267617,33.71487337440119,27.816091033538648,11.79756468172485
GHM00065418,9.557,-0.863,168.6,22.02513210130052,33.35050376454468,27.687817932922655,11.325371663244361
GHM00065432,7.75,-2.1,340.0,21.6513004791239,31.88999315537308,26.770646817248377,10.238692676249167
GHM00065437,7.817,-0.033,122.0,23.259930184804833,31.143244353182702,27.20158726899386,7.883314168377832
GHM00065439,7.362,-2.329,309.1,21.618219028063002,31.659775496235586,26.6389972621493,10.04155646817247
GHM00065442,6.715,-1.591,287.1,21.759501711156695,30.914617385352496,26.337059548254576,9.155115674195752
GHM00065445,6.2,-2.333,172.0,22.140774811772804,30.47384531143042,26.307310061601672,8.33307049965777
GHM00065453,6.6,0.467,158.0,23.077890485968517,31.405336071184152,27.24161327857638,8.327445585215614
GHM00065457,5.933,-0.983,140.0,22.10446132785767,30.673843942505197,26.389152635181432,8.569382614647497
GHM00065459,6.083,-0.25,167.0,23.347585215605733,30.5036358658453,26.925610540725486,7.156050650239607
GHM00065460,6.1,0.117,19.0,23.347585215605733,30.5036358658453,26.925610540725486,7.156050650239607
GHM00065465,4.867,-2.233,40.0,24.39804654346337,28.635549623545582,26.51679808350452,4.237503080082125
GHM00065467,4.896,-1.775,6.4,24.16017111567417,28.885025325119816,26.522598220397022,4.724854209445576
GHM00065472,5.605,-0.167,62.5,25.024598220396996,28.44930732375084,26.736952772073863,3.4247091033538455
GHM00065475,5.783,0.633,7.0,24.44012457221076,30.141318275153978,27.290721423682353,5.701193702943192
PUM00061766,11.895,-15.654,39.3,22.116440793976782,31.750046543463437,26.933243668719975,9.633605749486678
PUM00061769,11.583,-15.483,20.0,23.931007529089637,30.311832991101998,27.121420260095785,6.38082546201229
GV000001809,11.32,-12.3,362.0,18.90685147159488,31.082737850787215,24.994794661190944,12.17588637919228
GV000001811,11.43,-9.17,362.0,21.14533470225873,34.03178781656401,27.588561259411335,12.886453114305278
GV000001816,10.93,-14.25,69.0,22.529058179329233,33.29659548254632,27.912826830937657,10.76753730321694
GV000001818,10.05,-12.87,458.0,21.53847912388766,32.074621492128706,26.80655030800826,10.536142368240931
GV000001820,10.37,-12.08,782.0,19.507774127310103,31.143459274469542,25.32561670088967,11.635685147159451
